case_id,actual,pred_withheld_model,pred_baseline_model,err_pct_withheld,err_pct_baseline
v2.5_1378,185936197451776.0,174825821700096.0,181590126755840.0,5.975369994624937,2.3373989333428136
v2.5_1381,179860781662208.0,174881236844544.0,180301015810048.0,2.7685550855749965,0.24476383554631306
v2.5_1385,184006213632000.0,173895055310848.0,178464179093504.0,5.495009174730172,3.0118735824756953
v2.5_1419,183694711062528.0,170226012389376.0,183934306484224.0,7.332110214412967,0.1304313119904927
v2.5_1468,184604774367232.0,177679575810048.0,184129660387328.0,3.751364817579305,0.25736819729204924
v2.5_1472,182939887337472.0,172252918185984.0,183580709879808.0,5.841792791625363,0.3502913179091801
v2.5_1474,183072209240064.0,179932672032768.0,180858321371136.0,1.7149174199231412,1.2092976198396732
v2.5_1475,180524085673984.0,178312395620352.0,181555817349120.0,1.2251495668152468,0.5715202330392896
v2.5_1478,181481393618944.0,178689396441088.0,183394684108800.0,1.5384481693579835,1.0542626170665907
v2.5_1479,181241781420032.0,178599940325376.0,178815359778816.0,1.4576335952765065,1.338776093572327
v2.5_1483,184168650637312.0,177083430993920.0,184540031090688.0,3.847136642894291,0.20165237248079151
v2.5_1537,180846694760448.0,176742870286336.0,183350811688960.0,2.2692283536328834,1.3846628116864328
v2.5_1540,186588160065536.0,178084527472640.0,186629935333376.0,4.55743418548596,0.022389023947353964
v2.5_1547,181322161061888.0,173575667449856.0,180872045133824.0,4.272226608521396,0.24824099019554957
v2.5_1549,180453050941440.0,179642963066880.0,180015366930432.0,0.4489189128882542,0.24254730453409498
v2.5_1551,181793382727680.0,168518226018304.0,180532742717440.0,7.302332191739735,0.6934465882778548
v2.5_1552,180482176188416.0,178418041749504.0,180531601866752.0,1.1436777207058542,0.027385351495541378
v2.5_1554,184438075949056.0,180048350937088.0,184539443888128.0,2.3800535704896935,0.05496041885624475
v2.5_1555,183210084401152.0,179465527230464.0,183634044649472.0,2.0438597487292323,0.23140661154421377
v2.5_1556,184244735311872.0,176317265870848.0,184290839101440.0,4.302684376628256,0.025023124535938506
v2.5_1558,180219679866880.0,177747741638656.0,180526904246272.0,1.371625024553316,0.17047215909990104
v2.5_1560,186368193986560.0,173293592117248.0,185628738191360.0,7.015468460382719,0.39677145514074474
v2.5_1562,180965393563648.0,177435786084352.0,177651876626432.0,1.950432295252401,1.8310224247657554
v2.5_1563,183187770703872.0,176253361455104.0,183272529199104.0,3.785410577422038,0.04626864277365676
v2.5_1564,181473441218560.0,168516833509376.0,163612014411776.0,7.139671580691267,9.842446744189056
v2.5_1567,181450255106048.0,174593272709120.0,180577739210752.0,3.7789874656943634,0.48085680275624904
v2.5_1569,185092857135104.0,172230285721600.0,176489064562688.0,6.949253262709798,4.6483655315428365
v2.5_1572,186838895558656.0,170672420552704.0,185767720648704.0,8.652628221556103,0.5733147301846026
v2.5_1576,180085378252800.0,172606414127104.0,180276051312640.0,4.153010198971951,0.10587925665588309
v2.5_1645,180245164457984.0,173631703351296.0,180363057954816.0,3.6691475893821437,0.06540730076533151
v2.5_1693,182452827979776.0,176287368871936.0,181895908294656.0,3.379207204463507,0.3052403688594686
v2.5_1694,184281661964288.0,173108321320960.0,184683996381184.0,6.0631863877444765,0.21832580225696493
v2.5_1696,181569239121920.0,169421226115072.0,182817782759424.0,6.6905677776679235,0.6876405075782847
